year,men_high_school,women_high_school
2022,24.08,18.93
2021,24.36,19.36
2020,25.09,19.35
2019,23.99,18.48
2018,23.72,18.49
2017,23.47,18.31
2016,23.01,18.33
2015,22.93,18.05
2014,22.4,17.72
2013,22.28,17.84
2012,22.65,17.82
2011,22.81,18.01
2010,23.28,18.43
2009,23.74,18.7
2008,23.3,18.09
2007,23.39,18.26
2006,23.55,18.32
2005,23.34,18.41
2004,23.74,18.59
2003,23.89,18.85
2002,23.92,18.59
2001,23.67,18.28
2000,23.48,17.87
1999,23.31,17.78
1998,22.99,17.54
1997,22.58,17.11
1996,22.11,16.92
1995,22.2,16.95
1994,22.39,17.2
1993,22.18,16.99
1992,22.32,16.88
1991,22.49,16.97
1990,22.69,16.69
1989,23.31,16.77
1988,24.18,17.08
1987,24.17,16.98
1986,24.24,16.94
1985,24.14,16.6
1984,24.06,16.45
1983,24.33,16.52
1982,24.64,16.63
1981,24.84,16.46
1980,25.18,16.54
1979,26.04,16.94
1978,25.97,16.84
1977,25.97,16.71
1976,26.14,17.01
1975,26.02,16.54
1974,26.15,16.49
1973,26.9,16.97